id,pair_id,class,description,block,length,head_ver,tail_ver,polyline
1691,1692.0,1,二级route 317's segment,[6],300.8443286715952,392,260,"[[110.36642000000008, 20.042336300000056], [110.36642000000008, 20.04254590000006], [110.36695946319442, 20.044989866448752]]"
1692,1691.0,1,二级route 317's segment,[6],300.8443286715952,260,392,"[[110.36695946319442, 20.044989866448752], [110.36642000000008, 20.04254590000006], [110.36642000000008, 20.042336300000056]]"
1693,1694.0,1,二级route 318's segment,[18],8.495479607716781,713,562,"[[110.331241, 19.98451], [110.3313202321447, 19.984527109931577]]"
1694,1693.0,1,二级route 318's segment,[18],8.495479607716781,562,713,"[[110.3313202321447, 19.984527109931577], [110.331241, 19.98451]]"
1695,1696.0,1,二级route 318's segment,[18],822.9263690095346,562,710,"[[110.3313202321447, 19.984527109931577], [110.33395, 19.985095], [110.33464, 19.98523], [110.334865, 19.985265], [110.33691, 19.985677], [110.337001, 19.985677], [110.337313, 19.985577], [110.337734, 19.985365], [110.338112, 19.985117], [110.338338, 19.985013], [110.338542, 19.984878], [110.338668, 19.984779], [110.33875, 19.984687]]"
1696,1695.0,1,二级route 318's segment,[18],822.9263690095346,710,562,"[[110.33875, 19.984687], [110.338668, 19.984779], [110.338542, 19.984878], [110.338338, 19.985013], [110.338112, 19.985117], [110.337734, 19.985365], [110.337313, 19.985577], [110.337001, 19.985677], [110.33691, 19.985677], [110.334865, 19.985265], [110.33464, 19.98523], [110.33395, 19.985095], [110.3313202321447, 19.984527109931577]]"
1697,1698.0,1,二级route 319's segment,[15],804.4275067052344,714,605,"[[110.37076, 20.007409], [110.37115, 20.007635], [110.37115, 20.007635], [110.371194, 20.007509], [110.371194, 20.007509], [110.371693, 20.007543], [110.372452, 20.007543], [110.372682, 20.007539], [110.372804, 20.007535], [110.373607, 20.007543], [110.373984, 20.00753], [110.374245, 20.007535], [110.375017, 20.007543], [110.375069, 20.007561], [110.375126, 20.007591], [110.375126, 20.007591], [110.375178, 20.007678], [110.375195, 20.007739], [110.375213, 20.008945], [110.375243, 20.009275], [110.375408, 20.009557], [110.37592739123852, 20.01036250503018]]"
1698,1697.0,1,二级route 319's segment,[15],804.4275067052344,605,714,"[[110.37592739123852, 20.01036250503018], [110.375408, 20.009557], [110.375243, 20.009275], [110.375213, 20.008945], [110.375195, 20.007739], [110.375178, 20.007678], [110.375126, 20.007591], [110.375126, 20.007591], [110.375069, 20.007561], [110.375017, 20.007543], [110.374245, 20.007535], [110.373984, 20.00753], [110.373607, 20.007543], [110.372804, 20.007535], [110.372682, 20.007539], [110.372452, 20.007543], [110.371693, 20.007543], [110.371194, 20.007509], [110.371194, 20.007509], [110.37115, 20.007635], [110.37115, 20.007635], [110.37076, 20.007409]]"
1699,1700.0,1,二级route 319's segment,[15],0.32437553973731925,605,715,"[[110.37592739123852, 20.01036250503018], [110.375929, 20.010365], [110.375929, 20.010365]]"
1700,1699.0,1,二级route 319's segment,[15],0.32437553973731925,715,605,"[[110.375929, 20.010365], [110.375929, 20.010365], [110.37592739123852, 20.01036250503018]]"
1701,1702.0,1,二级route 320's segment,[2],9.737392657431645,716,581,"[[110.303468, 20.016844], [110.30338154408211, 20.016811293131592]]"
1702,1701.0,1,二级route 320's segment,[2],9.737392657431645,581,716,"[[110.30338154408211, 20.016811293131592], [110.303468, 20.016844]]"
1703,1704.0,1,二级route 320's segment,[2],228.75356182673386,581,98,"[[110.30338154408211, 20.016811293131592], [110.30309, 20.016701], [110.303047, 20.016727], [110.303047, 20.016727], [110.302734, 20.01651], [110.302457, 20.016315], [110.302426, 20.016272], [110.302426, 20.016185], [110.302652, 20.015512], [110.302703, 20.015387], [110.302703, 20.015342330569947]]"
1704,1703.0,1,二级route 320's segment,[2],228.75356182673386,98,581,"[[110.302703, 20.015342330569947], [110.302703, 20.015387], [110.302652, 20.015512], [110.302426, 20.016185], [110.302426, 20.016272], [110.302457, 20.016315], [110.302734, 20.01651], [110.303047, 20.016727], [110.303047, 20.016727], [110.30309, 20.016701], [110.30338154408211, 20.016811293131592]]"
1705,1706.0,1,二级route 321's segment,[8],342.70797024952753,187,717,"[[110.28003140611354, 19.99799], [110.279987, 19.99799], [110.278811, 19.99826], [110.278811, 19.99826], [110.278372, 19.998355], [110.276845, 19.998715]]"
1706,1705.0,1,二级route 321's segment,[8],342.70797024952753,717,187,"[[110.276845, 19.998715], [110.278372, 19.998355], [110.278811, 19.99826], [110.278811, 19.99826], [110.279987, 19.99799], [110.28003140611354, 19.99799]]"
1707,1708.0,1,二级route 322's segment,[8],478.97550652906864,188,718,"[[110.2803842310231, 19.999996], [110.28033, 19.999996], [110.279488, 20.000243], [110.27872, 20.000464], [110.277778, 20.000673], [110.2776, 20.000738], [110.277331, 20.000803], [110.277023, 20.000872], [110.277023, 20.000872], [110.27704, 20.001046], [110.27704, 20.001046], [110.276645, 20.001133], [110.27658, 20.001146], [110.27622, 20.001202], [110.27622, 20.001202], [110.276241, 20.001141]]"
1708,1707.0,1,二级route 322's segment,[8],478.97550652906864,718,188,"[[110.276241, 20.001141], [110.27622, 20.001202], [110.27622, 20.001202], [110.27658, 20.001146], [110.276645, 20.001133], [110.27704, 20.001046], [110.27704, 20.001046], [110.277023, 20.000872], [110.277023, 20.000872], [110.277331, 20.000803], [110.2776, 20.000738], [110.277778, 20.000673], [110.27872, 20.000464], [110.279488, 20.000243], [110.28033, 19.999996], [110.2803842310231, 19.999996]]"
1709,1710.0,1,二级route 323's segment,[7],838.372320256688,184,719,"[[110.2812556431925, 20.009792], [110.281111, 20.009792], [110.280833, 20.009753], [110.28076, 20.00974], [110.279345, 20.009423], [110.278915, 20.009336], [110.278147, 20.009171], [110.278034, 20.009154], [110.278034, 20.009154], [110.278038, 20.008299], [110.278056, 20.008077], [110.278056, 20.008077], [110.277057, 20.007769], [110.276584, 20.007626], [110.276172, 20.007474], [110.275712, 20.007352], [110.275712, 20.007352], [110.275569, 20.007214], [110.275503, 20.007131], [110.275438, 20.006523], [110.275421, 20.006406], [110.275412, 20.006389]]"
1710,1709.0,1,二级route 323's segment,[7],838.372320256688,719,184,"[[110.275412, 20.006389], [110.275421, 20.006406], [110.275438, 20.006523], [110.275503, 20.007131], [110.275569, 20.007214], [110.275712, 20.007352], [110.275712, 20.007352], [110.276172, 20.007474], [110.276584, 20.007626], [110.277057, 20.007769], [110.278056, 20.008077], [110.278056, 20.008077], [110.278038, 20.008299], [110.278034, 20.009154], [110.278034, 20.009154], [110.278147, 20.009171], [110.278915, 20.009336], [110.279345, 20.009423], [110.28076, 20.00974], [110.280833, 20.009753], [110.281111, 20.009792], [110.2812556431925, 20.009792]]"
1711,1712.0,1,二级route 324's segment,[7],536.4299735764625,185,720,"[[110.281168, 20.005903], [110.281081, 20.005903], [110.280877, 20.005907], [110.28076, 20.005859], [110.28076, 20.005859], [110.280378, 20.005612], [110.279991, 20.005365], [110.279787, 20.005234], [110.279536, 20.005078], [110.278845, 20.004622], [110.278694, 20.004531], [110.277661, 20.003872], [110.276766, 20.003537]]"
1712,1711.0,1,二级route 324's segment,[7],536.4299735764625,720,185,"[[110.276766, 20.003537], [110.277661, 20.003872], [110.278694, 20.004531], [110.278845, 20.004622], [110.279536, 20.005078], [110.279787, 20.005234], [110.279991, 20.005365], [110.280378, 20.005612], [110.28076, 20.005859], [110.28076, 20.005859], [110.280877, 20.005907], [110.281081, 20.005903], [110.281168, 20.005903]]"
1713,1714.0,1,二级route 325's segment,[20],660.7552705043602,220,276,"[[110.34240658762887, 19.982049], [110.342457, 19.982049], [110.342687, 19.982127], [110.342934, 19.982183], [110.343728, 19.982261], [110.343863, 19.982279], [110.344614, 19.982357], [110.344666, 19.982491], [110.344553, 19.983615], [110.344527, 19.98385], [110.344484, 19.984128], [110.344397, 19.984653], [110.344249, 19.985751], [110.344271, 19.985894], [110.344327, 19.98602], [110.344327, 19.98614989041096]]"
